I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	179.792	-6.04697	-1.30257	0.0475642	67.8804	3823.36	-0.180019	2.55022	0.0159686	-0.91881	9.39656	3.02198	-4.4774	-3.21282	-0.743308	0.205119	7.57628	7.09744	7.64816	11043.1	1502.11	0.516832	0.584673	2688.69	32249.9	5801.73	908.961	108.829	319.536	41.1901	3.33203	0.264139	7.61879	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	179.799	-6.07065	-1.3086	0.0484127	66.3097	3848.97	-0.186785	2.51616	0.0162297	-0.874042	8.95813	3.05014	-4.5045	-3.31234	-0.765039	0.202276	7.62977	7.1484	7.62176	10963.3	1495.67	0.522158	0.598658	2655.09	31047.2	5684.37	873.464	104.06	307.34	39.9907	3.10654	0.248705	7.5284	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	179.806	-6.09524	-1.31477	0.0493254	64.7111	3874.79	-0.194753	2.48676	0.0165449	-0.583956	7.27356	3.07907	-4.53217	-3.42439	-0.78947	0.199231	7.67841	7.19483	7.5951	10896.5	1487.9	0.527923	0.612276	2624.3	29759.9	5525.81	894.953	98.2275	297.64	38.9072	3.18373	0.23174	7.4364	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	179.813	-6.12002	-1.32093	0.0502527	63.0937	3900.57	-0.202741	2.45918	0.01688	-0.260823	5.42721	3.10851	-4.56088	-3.54029	-0.8145	0.196146	7.72572	7.24002	7.56836	10834.3	1479.97	0.533675	0.625683	2594.09	28393.9	5368.13	906.609	93.1271	287.033	37.8379	3.21774	0.216845	7.34389	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	179.82	-6.14563	-1.32732	0.0512492	61.3849	3926.7	-0.211761	2.44024	0.0173066	0.265068	2.70965	3.1425	-4.59476	-3.67213	-0.843201	0.192873	7.76651	7.27911	7.54167	10794.2	1471.22	0.539398	0.638056	2567.15	27288.3	5129.44	863.118	96.2171	280.187	36.1931	3.0147	0.224438	7.24918	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	179.827	-6.17167	-1.33366	0.0522797	59.6625	3952.71	-0.22047	2.42544	0.0177847	0.797786	-0.0486092	3.17555	-4.63021	-3.81265	-0.873186	0.189479	7.80578	7.31679	7.51575	10764	1462.3	0.545006	0.650144	2541.23	25978	4924.14	822.81	97.4579	271.161	34.8622	2.83534	0.227358	7.15328	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	179.835	-6.19849	-1.3403	0.0533769	57.9107	3979.23	-0.230002	2.41941	0.0183654	1.39898	-2.96316	3.20961	-4.66932	-3.96701	-0.907281	0.18584	7.84216	7.35176	7.49211	10754.5	1453.1	0.55034	0.661686	2517.75	24546.7	4835.85	790.365	91.4047	262.668	34.5509	2.70306	0.211624	7.05526	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	179.842	-6.22602	-1.34688	0.0545305	56.1411	4005.65	-0.238583	2.41845	0.0190274	1.96457	-5.70775	3.24345	-4.7124	-4.1353	-0.943104	0.182099	7.87721	7.3855	7.47112	10754.3	1443.86	0.555446	0.672828	2495.97	23226.4	4681.3	757.419	87.0282	254.912	33.7647	2.58252	0.200945	6.95549	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	179.849	-6.25424	-1.35379	0.0557453	54.3498	4032.69	-0.247675	2.42356	0.0197796	2.52751	-8.29212	3.27777	-4.76123	-4.31782	-0.982836	0.178115	7.91085	7.41791	7.45381	10765.1	1434.69	0.560227	0.68352	2476.43	22060.3	4415.9	725.085	82.7529	247.866	32.117	2.47462	0.190868	6.85396	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	179.856	-6.2835	-1.36069	0.0570445	52.5308	4059.78	-0.255062	2.43416	0.0206489	3.02646	-10.5491	3.31362	-4.81787	-4.5211	-1.02559	0.174057	7.94354	7.44945	7.44069	10781.9	1425.56	0.564724	0.69372	2459.05	20892.4	4221.92	693.14	78.2598	240.283	31.0829	2.38042	0.181236	6.74997	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	179.863	-6.31338	-1.36789	0.0584024	50.6908	4087.53	-0.262599	2.44909	0.0216022	3.50442	-12.5833	3.34975	-4.88224	-4.73927	-1.07266	0.16977	7.97549	7.4803	7.43069	10803.8	1416.5	0.568973	0.703567	2443.32	19720	4068.69	659.979	74.128	231.771	30.3763	2.28823	0.173073	6.64438	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	179.87	-6.3447	-1.37515	0.0598817	48.8122	4115.61	-0.267794	2.46834	0.0227074	3.86734	-14.0748	3.3929	-4.95685	-4.985	-1.12388	0.165576	8.00582	7.50963	7.42392	10824.4	1407.01	0.57311	0.7128	2429.56	18339.8	3935.03	608.131	70.0414	216.072	29.783	2.12655	0.166028	6.53546	-0.446131	-0.1
