I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	178	-5.58204	-1.90335	0.0385302	91.6829	5842.59	-0.27366	2.94942	0.013003	-1.26217	1.17529	2.58093	-5.42745	-1.03859	-1.41826	0.236649	7.33235	6.85953	8.87045	11630.2	1619.08	0.531165	0.483497	3331.91	40529.6	7126.93	1180.22	143.991	603.723	71.1807	5.85452	0.392156	8.76704	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	178	-5.61512	-1.90231	0.0394261	89.178	5875.5	-0.281637	2.91994	0.0133756	-1.51801	1.96461	2.56487	-5.5346	-1.0793	-1.52242	0.228749	7.49871	7.01637	8.87147	11561.1	1617.51	0.537723	0.511136	3244.35	40012.8	6963.66	1140.21	133.165	591.426	68.6553	5.55182	0.358392	8.63338	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	178	-5.64891	-1.90181	0.0403689	86.6543	5908.83	-0.293575	2.88607	0.0137521	-1.85949	3.11858	2.54229	-5.63753	-1.12517	-1.6352	0.220317	7.66447	7.1727	8.86743	11481.7	1613.93	0.545699	0.540418	3159.1	38117.9	6728.64	1140.16	132.834	558.97	65.7922	5.54638	0.354221	8.49797	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	178	-5.68364	-1.90205	0.0413746	84.1072	5942.15	-0.313798	2.84474	0.0141212	-2.34397	4.85064	2.50669	-5.71789	-1.18129	-1.75567	0.210865	7.82599	7.32512	8.85775	11387.3	1608.13	0.554998	0.571225	3078.27	36481.5	6530.9	1084.37	120.977	539.342	63.1632	5.07421	0.314529	8.36041	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	178	-5.71798	-1.90222	0.0423964	81.6284	5973.84	-0.342793	2.7969	0.0144583	-2.88063	6.81412	2.46502	-5.78702	-1.24206	-1.88121	0.201262	7.96927	7.46046	8.83798	11282.3	1601.52	0.564544	0.600392	3004.62	34865.2	6373.2	1024.22	117.397	524.46	61.0812	4.60728	0.300475	8.22577	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	178	-5.75171	-1.90225	0.0434289	79.234	6003.75	-0.382029	2.74304	0.0147604	-3.37386	8.56469	2.41887	-5.85242	-1.30502	-2.01446	0.191704	8.09781	7.582	8.8146	11167.3	1594.57	0.574067	0.628111	2938.62	33240.4	6256.76	967.829	117.878	511.646	59.5038	4.17764	0.299177	8.09463	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	178	-5.7863	-1.90293	0.0445238	76.8158	6033.03	-0.432564	2.68114	0.0150391	-3.76877	9.71161	2.3687	-5.91571	-1.3767	-2.15586	0.181991	8.22012	7.69775	8.79243	11036.8	1587.06	0.583604	0.655849	2878.05	31646.1	6141.95	935.168	108.336	500.24	57.9812	3.8459	0.26814	7.96114	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	178	-5.82212	-1.90454	0.0457061	74.303	6061.73	-0.500392	2.61736	0.0153343	-3.55982	7.88188	2.30994	-5.994	-1.46578	-2.31475	0.171717	8.33809	7.80945	8.77682	10896.1	1579.47	0.592949	0.683693	2823.94	30049.1	6034.05	884.253	110.205	486.066	56.4873	3.46921	0.268164	7.82404	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	178	-5.85893	-1.90694	0.0469645	71.6679	6090.2	-0.582181	2.56472	0.0157258	-2.80052	3.53861	2.24693	-6.09572	-1.57188	-2.48986	0.16111	8.45339	7.9187	8.76692	10771.4	1571.99	0.602166	0.711528	2774.39	28443.7	5901.33	850.678	109.851	469.301	54.8862	3.20866	0.263355	7.68348	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	178	-5.89695	-1.91036	0.0483202	68.9263	6118.57	-0.682189	2.53677	0.0163117	-1.47525	-3.33966	2.17607	-6.22927	-1.69974	-2.68518	0.150042	8.5661	8.02555	8.7637	10688.6	1564.6	0.611347	0.739351	2729.74	26818.5	5764.92	826.899	101.196	449.513	53.3777	3.00891	0.237626	7.53835	-0.44	-0.136432
