I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
215.517	145.792	27.4515	3.36026	0.835253	171.091	-6.01232	-1.46883	0.049056	65.8675	5727.16	-1.30871	2.70144	0.0178185	2.35664	-13.9921	6.44304	-10.4173	1.86406	-5.99902	0.424229	8.55809	8.0172	8.71805	10973.2	1542.34	0.616366	0.740906	2717.69	27435.6	5737.23	863.973	98.7297	403.309	52.613	3.07759	0.236172	7.46394	-0.45	-0.1
214.987	145.799	27.4293	3.36043	0.835885	171.189	-6.0363	-1.48313	0.0500842	64.0445	5769.7	-1.42626	2.70644	0.018475	2.58016	-17.6396	6.42853	-10.7961	1.80935	-6.32371	0.411544	8.63474	8.08995	8.71615	10954	1537.07	0.623056	0.760394	2688.07	26102.7	5519.68	881.056	93.1817	394.173	51.0367	3.16092	0.219266	7.35994	-0.449648	-0.1
214.456	145.806	27.4071	3.36059	0.836521	171.288	-6.06149	-1.49868	0.0512215	62.1761	5814.8	-1.55655	2.72514	0.0193201	2.71768	-20.4463	6.39148	-11.2519	1.72972	-6.69048	0.397316	8.70863	8.16017	8.71654	10948.2	1530.52	0.630579	0.779875	2661.29	24808.5	5277.46	832.431	95.4255	380.808	48.6914	2.93776	0.22361	7.25223	-0.449296	-0.1
213.926	145.813	27.3849	3.36076	0.837151	171.386	-6.08693	-1.51448	0.0523817	60.2843	5860.83	-1.69262	2.74515	0.0201983	2.82048	-23.0397	6.35145	-11.7226	1.64647	-7.06761	0.382685	8.78275	8.2306	8.71781	10941.6	1523.66	0.638438	0.799475	2634.88	23466.7	5046.47	785.035	96.9463	366.318	46.4943	2.72931	0.226455	7.14367	-0.448945	-0.1
213.395	145.82	27.3628	3.36093	0.837792	171.486	-6.11363	-1.53155	0.0536612	58.2925	5909.12	-1.8385	2.77192	0.0212387	2.81967	-24.5978	6.28744	-12.2338	1.53708	-7.47865	0.366503	8.85344	8.29783	8.71972	10935.7	1514.81	0.647598	0.81878	2610.64	22013.8	4919.94	745.054	92.1835	349.191	45.5404	2.5873	0.214679	7.0309	-0.448593	-0.1
212.864	145.827	27.3406	3.36109	0.838421	171.584	-6.14093	-1.54926	0.0549986	56.2482	5959.76	-2.00181	2.79935	0.0223466	2.75776	-25.8113	6.21229	-12.7772	1.41618	-7.91679	0.349199	8.93003	8.37061	8.72889	10924	1505.85	0.657827	0.839328	2587.18	20514.5	4760.84	699.005	87.9542	329.445	44.2729	2.44145	0.205642	6.91592	-0.448241	-0.1
212.334	145.835	27.3184	3.36126	0.839067	171.685	-6.16961	-1.56837	0.0564687	54.0957	6011.62	-2.1689	2.8285	0.0235952	2.6272	-26.3392	6.09881	-13.3424	1.25444	-8.38966	0.330023	9.00777	8.44449	8.73947	10905.6	1495.16	0.669406	0.860604	2564.34	18327.8	4534.34	613.498	82.5324	290.076	42.0643	2.1492	0.196427	6.79607	-0.447889	-0.1
211.803	145.842	27.2962	3.36142	0.839696	171.783	-6.19935	-1.58864	0.0580383	51.9044	6067.04	-2.36661	2.85717	0.0249529	2.43387	-26.4774	5.95798	-13.9572	1.06963	-8.90808	0.309149	9.11052	8.54183	8.78671	10877.2	1488.34	0.68336	0.885953	2546.12	16886.4	4292.61	553.989	76.2826	262.765	39.9205	1.97393	0.185097	6.67302	-0.447538	-0.1
211.273	145.849	27.274	3.36159	0.840346	171.884	-6.23044	-1.61028	0.0597388	49.6613	6122.6	-2.56101	2.88603	0.0264425	2.20571	-26.2104	5.77677	-14.5791	0.844425	-9.45447	0.287118	9.22614	8.65125	8.85563	10842.4	1484.22	0.698871	0.913284	2531.55	16081.1	4073.08	518.341	71.0953	246.431	38.2704	1.89957	0.177403	6.54585	-0.447186	-0.1
210.742	145.856	27.2519	3.36176	0.840978	171.982	-6.26312	-1.6337	0.061602	47.3592	6182.19	-2.78931	2.91154	0.0280858	1.91331	-25.5016	5.54234	-15.2653	0.57373	-10.0667	0.26267	9.37343	8.79041	8.97204	10797	1483.85	0.717118	0.945871	2522.97	15489.7	3805.63	465.493	63.2678	224.373	35.0956	1.67732	0.156584	6.41394	-0.446834	-0.1
210.211	145.863	27.2297	3.36193	0.841629	172.084	-6.29709	-1.65844	0.0636	45.0146	6241.17	-3.00802	2.93581	0.0298552	1.60989	-24.4685	5.26752	-15.9472	0.262104	-10.7015	0.237474	9.53276	8.94089	9.11058	10748.2	1485.81	0.736267	0.980055	2518.27	14929.9	3490.97	395.463	52.7553	196.835	30.4694	1.30983	0.122518	6.27818	-0.446482	-0.1
209.681	145.87	27.2075	3.3621	0.842263	172.182	-6.3335	-1.68581	0.0658603	42.5843	6304.08	-3.24275	2.95123	0.0318236	1.22944	-23.3257	4.91385	-16.7139	-0.120453	-11.4229	0.209819	9.68861	9.08813	9.24004	10690.3	1482.07	0.756709	1.01509	2511.88	15939.7	3173.39	356.422	46.2308	172.544	24.7164	0.966432	0.0954181	6.13544	-0.446131	-0.1
