I	J	COLAT	ALOCT	MLT	BNDLOC	XMIN	YMIN	FTV	BMIN	V	BIRK_fromV(NH)	P(RCM)	PV_gamma	Vtotx	Vtoty	Vx_exb	Vy_exb	vel_x	vel_y	Ey	PEDLAM	PEDPSI	HALL	RCM_T_p	RCM_T_e	RCM_N_e	EFLUX	EAVG	f_i_50-75	f_i_75-125	f_i_125-200	f_i_200-300	f_e_50-75	f_e_75-125	f_e_125-200	f_e_200-300	Vm	xi	yi
221.532	150.462	27.7036	3.47015	1.25498	182.462	-5.71937	-1.98002	0.0438103	74.8881	5695.79	-1.11009	2.76379	0.0151093	-4.87863	12.6708	1.64368	-5.03642	-3.138	-1.38126	0.123377	11.2791	10.5518	18.2233	10700.8	3374.16	0.730732	1.18557	4601.02	26991.9	6401.47	827.419	115.93	323.42	63.2942	3.02813	0.290258	8.04867	-0.44	-0.15
220.779	150.331	27.672	3.46707	1.24325	182.331	-5.76087	-1.98364	0.0452344	71.7396	5734.45	-1.19891	2.83203	0.016324	-5.68257	14.5465	1.53159	-5.17813	-3.38931	-1.49882	0.110094	12.8852	12.0564	23.3607	10539	4099.83	0.840209	1.60832	5321.5	25160.7	6168.5	796.669	107.413	342.783	61.3308	2.97317	0.264066	7.87831	-0.44	-0.148492
220.027	150.2	27.6405	3.46399	1.23148	182.2	-5.8041	-1.98825	0.0467878	68.5167	5775.51	-1.2541	2.8843	0.0175838	-6.01692	14.6087	1.40894	-5.31652	-3.67253	-1.63252	0.096744	14.3123	13.394	27.8666	10347	4566.38	0.95537	2.07436	5810.94	23405.1	5948.82	761.74	94.1371	424.594	59.5769	2.93635	0.225401	7.7022	-0.44	-0.146985
219.275	150.069	27.6089	3.46091	1.2197	182.069	-5.84977	-1.99412	0.0485406	65.0183	5819.06	-1.25554	2.9067	0.0188399	-3.67159	7.00648	1.29196	-5.45629	-4.00203	-1.78963	0.0841795	15.5891	14.5915	30.9929	10138.7	4766.02	1.0582	2.49628	5967.98	21099.5	5557.42	699.887	95.0894	416.577	56.0876	2.79117	0.235161	7.51698	-0.44	-0.145477
218.547	149.938	27.5784	3.45782	1.20789	181.938	-5.89604	-2.00051	0.0504172	61.4731	5861.62	-1.20752	2.94442	0.0203371	0.261569	-4.68329	1.19653	-5.56532	-4.36136	-1.95812	0.0736603	16.7535	15.6839	32.7857	10022	4764.26	1.1505	2.83942	5871.53	19586.8	5159.63	634.813	88.7164	405.117	52.3469	2.58472	0.226755	7.32999	-0.44	-0.14397
217.847	149.806	27.5491	3.45472	1.19605	181.806	-5.94293	-2.00748	0.0524241	57.9201	5902.42	-1.11088	2.99726	0.0221015	4.25098	-16.2534	1.13483	-5.62832	-4.7458	-2.12798	0.0658574	17.7361	16.6064	33.1937	9994.01	4602.24	1.23463	3.07777	5579.55	18308.3	4797.53	578.623	77.1069	387.353	48.8887	2.38292	0.204698	7.14182	-0.44	-0.142462
217.147	149.674	27.5198	3.45162	1.1842	181.674	-5.99246	-2.01602	0.0546641	54.2218	5944.8	-0.967765	3.06981	0.0242618	6.72642	-23.1361	1.09366	-5.66922	-5.16538	-2.30551	0.0593878	18.5272	17.3498	32.6354	10041.6	4343.85	1.30889	3.22454	5191.58	16673.2	4506.63	525.35	66.4287	355.931	46.2446	2.17515	0.186446	6.9447	-0.44	-0.140955
216.446	149.542	27.4904	3.4485	1.17232	181.542	-6.046	-2.02692	0.0572827	50.3103	5988.56	-0.773382	3.12854	0.0267473	7.43996	-24.5156	1.07825	-5.67023	-5.65129	-2.48628	0.0542964	18.9084	17.7096	31.3429	10086.8	4066.37	1.36118	3.25747	4829.7	14478.4	4109.79	450.969	57.7123	304.918	41.8558	1.86944	0.169515	6.73385	-0.44	-0.139447
215.746	149.41	27.4611	3.44539	1.16041	181.41	-6.10297	-2.03977	0.0602164	46.3398	6033.11	-0.548437	3.17327	0.0294749	7.48843	-23.7799	1.0707	-5.63164	-6.1918	-2.65804	0.0496852	19.0089	17.8066	29.8985	10122.4	3808.25	1.38917	3.22579	4534.08	12325	3723.32	384.272	48.6749	257.468	37.3743	1.58467	0.147341	6.51316	-0.44	-0.13794
215.045	149.277	27.4318	3.44226	1.14848	181.277	-6.16436	-2.05499	0.0635099	42.5726	6078.45	-0.293283	3.20253	0.0324887	6.97908	-21.4299	1.03396	-5.52146	-6.79911	-2.80291	0.0440831	18.8224	17.6346	28.4839	10149.7	3588.58	1.3844	3.13048	4329.76	10759.8	3284.8	338.309	38.7443	225.268	32.0328	1.34424	0.118023	6.28404	-0.44	-0.136432
